Speed_kn,Speed_ms,Re,Cf,Fn,CT,RT_kN,PE_kW
5,2.57222,259820202.020202,0.001822687562780667,0.07498202239220608,0.002587351516531572,39.4800815184089,101.5514552832817
6,3.086664,311784242.4242424,0.001778509548637223,0.08997842687064728,0.002534473646826147,55.6894433488537,171.8945999649462
7,3.601108,363748282.8282828,0.00174239870489843,0.1049748313490885,0.002491364182371952,74.51022806600602,268.3193783703188
8,4.115552,415712323.2323232,0.001711999678694845,0.1199712358275297,0.00245522825944787,95.90791382520206,394.714006559138
9,4.629996,467676363.6363636,0.001685841354223525,0.1349676403059709,0.002424336954154465,119.8562254458517,554.9338443893918
10,5.14444,519640404.040404,0.001662946632902218,0.1499640447844122,0.002397559018599009,146.3362436757329,752.8180254151873
11,5.658884,571604444.4444444,0.001642635244984713,0.1649604492628534,0.002374124254833899,175.3361279367263,992.2068090030939
12,6.173328,623568484.8484848,0.001624415591209884,0.1799568537412946,0.002353493724835517,206.851242071882,1276.960564517127
13,6.687772,675532525.2525252,0.001607921501425806,0.1949532582197358,0.002335283860853164,240.8845682763732,1610.981070950817
14,7.202216,727496565.6565657,0.001592873308065911,0.209949662698177,0.00231921975358045,277.4473422989371,1998.235687862882
15,7.71666,779460606.060606,0.001579052852702934,0.2249460671766182,0.002305105160020025,316.5598688085589,2442.784877240254
16,8.231104,831424646.4646465,0.001566286861004666,0.2399424716550594,0.002292802553430488,358.2524905640585,2948.813508091785
17,8.745548,883388686.8686868,0.001554435546631451,0.2549388761335006,0.00228221944800338,402.5666938611808,3520.666344364262
18,9.259992,935352727.2727271,0.001543384594576963,0.2699352806119419,0.002273298778872116,449.5563382463963,4162.888095710924
19,9.774436,987316767.6767675,0.001533039393271371,0.2849316850903831,0.002266011980635786,499.2890020479322,4880.268396021383
20,10.28888,1039280808.080808,0.001523320801660466,0.2999280895688243,0.002260353907854104,551.8474376433354,5677.892064219762
21,10.803324,1091244848.484848,0.001514161987811035,0.3149244940472655,0.002256339041373862,607.3311319995131,6561.194994277508
22,11.317768,1143208888.888889,0.001505506030569872,0.3299208985257067,0.002253998610319735,665.8579691497644,7536.026015788191
23,11.832212,1195172929.292929,0.001497304074371131,0.3449173030041479,0.002253378377863111,727.5659920761193,8608.715062234964
24,12.346656,1247136969.69697,0.001489513891504053,0.3599137074825891,0.002254536915943363,792.6152620481497,9786.147980858359
25,12.8611,1299101010.10101,0.001482098748904679,0.3749101119610304,0.002257544245417902,861.1898138988926,11075.84831553505
